OrderID,OrderDate,Region,Category,CustomerSegment,ShipMode,Quantity,UnitPrice,Discount,ShippingCost,Sales,Profit,Month,Year,Quarter
ORD-00001,2023-10-04,South,Sports,Corporate,Same Day,19,466.02,0.0,47.38,8854.38,420.8,October,2023,Q4
ORD-00002,2022-02-05,West,Clothing,Consumer,Standard Class,12,321.26,0.2,12.16,3084.1,351.09,February,2022,Q1
ORD-00003,2022-07-05,South,Sports,Consumer,First Class,5,373.11,0.0,27.27,1865.55,260.05,July,2022,Q3
ORD-00004,2022-06-18,West,Electronics,Consumer,Standard Class,10,410.25,0.0,20.08,4102.5,1390.9,June,2022,Q2
ORD-00005,2023-12-15,South,Electronics,Home Office,Second Class,18,13.01,0.2,42.97,187.34,-26.55,December,2023,Q4
ORD-00006,2023-12-24,South,Sports,Home Office,First Class,15,465.71,0.2,8.49,5588.52,629.33,December,2023,Q4
ORD-00007,2022-03-10,West,Sports,Home Office,Standard Class,1,300.57,0.2,37.44,240.46,-18.81,March,2022,Q1
ORD-00008,2022-07-17,West,Furniture,Consumer,Second Class,5,295.25,0.4,30.48,885.75,87.74,July,2022,Q3
ORD-00009,2023-01-21,North,Furniture,Home Office,Second Class,18,303.52,0.4,14.81,3278.02,379.12,January,2023,Q1
ORD-00010,2022-09-12,North,Food & Beverages,Consumer,Standard Class,15,70.95,0.1,10.06,957.82,169.38,September,2022,Q3
ORD-00011,2022-02-25,East,Electronics,Consumer,Same Day,7,247.62,0.0,20.2,1733.34,311.45,February,2022,Q1
ORD-00012,2023-03-26,West,Sports,Consumer,First Class,9,183.5,0.2,10.73,1321.2,303.51,March,2023,Q1
ORD-00013,2022-06-26,East,Electronics,Consumer,Standard Class,12,138.63,0.1,4.87,1497.2,113.6,June,2022,Q2
ORD-00014,2022-08-10,North,Clothing,Corporate,Standard Class,3,242.15,0.0,45.83,726.45,167.37,August,2022,Q3
ORD-00015,2022-03-01,East,Food & Beverages,Corporate,First Class,1,419.41,0.0,39.77,419.41,103.93,March,2022,Q1
ORD-00016,2022-12-30,South,Sports,Consumer,First Class,15,472.29,0.1,19.1,6375.92,1260.41,December,2022,Q4
ORD-00017,2022-09-02,North,Food & Beverages,Consumer,Standard Class,6,275.68,0.2,13.54,1323.26,272.12,September,2022,Q3
ORD-00018,2022-08-04,West,Electronics,Corporate,Standard Class,15,171.6,0.1,8.69,2316.6,768.18,August,2022,Q3
ORD-00019,2023-10-05,East,Electronics,Consumer,Second Class,1,122.51,0.0,19.64,122.51,5.79,October,2023,Q4
ORD-00020,2022-07-12,South,Furniture,Home Office,Second Class,15,204.51,0.0,25.29,3067.65,194.93,July,2022,Q3
ORD-00021,2023-10-15,South,Furniture,Home Office,First Class,9,414.09,0.2,47.24,2981.45,752.95,October,2023,Q4
ORD-00022,2023-03-01,East,Furniture,Consumer,First Class,10,247.08,0.0,19.93,2470.8,575.81,March,2023,Q1
ORD-00023,2022-01-21,West,Furniture,Consumer,First Class,19,74.9,0.0,6.76,1423.1,259.38,January,2022,Q1
ORD-00024,2023-05-21,North,Food & Beverages,Consumer,Standard Class,10,175.83,0.1,32.07,1582.47,148.81,May,2023,Q2
ORD-00025,2022-03-01,South,Furniture,Consumer,Standard Class,1,469.5,0.2,9.0,375.6,20.4,March,2022,Q1
ORD-00026,2023-08-15,North,Electronics,Corporate,Standard Class,7,251.07,0.0,7.44,1757.49,330.42,August,2023,Q3
ORD-00027,2022-02-17,North,Clothing,Corporate,Standard Class,6,21.53,0.0,25.42,129.18,-13.41,February,2022,Q1
ORD-00028,2023-05-08,North,Furniture,Corporate,Same Day,8,448.86,0.2,31.18,2872.7,720.78,May,2023,Q2
ORD-00029,2022-03-04,North,Furniture,Consumer,Standard Class,18,335.96,0.2,38.22,4837.82,1250.6,March,2022,Q1
ORD-00030,2023-06-14,South,Furniture,Consumer,Standard Class,8,345.93,0.0,36.24,2767.44,882.87,June,2023,Q2
ORD-00031,2022-03-15,South,Food & Beverages,Consumer,Standard Class,16,159.69,0.2,4.88,2044.03,140.2,March,2022,Q1
ORD-00032,2022-06-10,North,Clothing,Corporate,Standard Class,12,163.04,0.0,9.05,1956.48,409.87,June,2022,Q2
ORD-00033,2022-10-05,South,Clothing,Corporate,First Class,15,478.16,0.0,12.64,7172.4,448.58,October,2022,Q4
ORD-00034,2022-08-28,South,Clothing,Corporate,Standard Class,6,45.46,0.2,9.56,218.21,45.85,August,2022,Q3
ORD-00035,2022-06-19,North,Food & Beverages,Corporate,Standard Class,9,142.63,0.3,45.38,898.57,-0.31,June,2022,Q2
ORD-00036,2023-06-16,East,Clothing,Consumer,Second Class,1,250.31,0.3,28.9,175.22,2.59,June,2023,Q2
ORD-00037,2023-11-22,West,Food & Beverages,Consumer,Standard Class,15,161.22,0.0,14.41,2418.3,583.48,November,2023,Q4
ORD-00038,2023-10-15,South,Furniture,Home Office,Second Class,19,303.73,0.1,19.36,5193.78,1563.19,October,2023,Q4
ORD-00039,2022-12-19,West,Sports,Corporate,Standard Class,10,23.07,0.3,24.68,161.49,10.98,December,2022,Q4
ORD-00040,2022-09-15,South,Electronics,Consumer,First Class,1,16.11,0.2,33.77,12.89,-32.06,September,2022,Q3
ORD-00041,2023-03-05,East,Clothing,Consumer,Standard Class,10,481.62,0.2,16.96,3852.96,701.45,March,2023,Q1
ORD-00042,2022-04-25,West,Clothing,Consumer,Same Day,2,256.92,0.0,4.52,513.84,130.61,April,2022,Q2
ORD-00043,2022-01-12,East,Clothing,Home Office,Standard Class,12,231.7,0.0,37.32,2780.4,109.07,January,2022,Q1
ORD-00044,2022-04-06,West,Food & Beverages,Corporate,Second Class,1,289.35,0.1,42.63,260.42,14.18,April,2022,Q2
ORD-00045,2022-10-25,East,Sports,Consumer,Standard Class,9,331.36,0.0,43.68,2982.24,993.09,October,2022,Q4
ORD-00046,2022-05-04,East,Food & Beverages,Consumer,Standard Class,2,221.89,0.2,25.99,355.02,94.67,May,2022,Q2
ORD-00047,2022-09-26,South,Food & Beverages,Consumer,First Class,15,466.32,0.0,35.02,6994.8,984.4,September,2022,Q3
ORD-00048,2022-03-19,West,Furniture,Consumer,Second Class,3,431.48,0.4,48.3,776.66,160.85,March,2022,Q1
ORD-00049,2023-04-06,South,Electronics,Consumer,Standard Class,16,281.8,0.0,38.87,4508.8,565.65,April,2023,Q2
ORD-00050,2023-04-29,East,Furniture,Consumer,Same Day,15,11.68,0.2,5.51,140.16,6.33,April,2023,Q2
ORD-00051,2022-03-30,South,Electronics,Corporate,First Class,17,74.67,0.1,40.91,1142.45,151.89,March,2022,Q1
ORD-00052,2023-05-04,North,Electronics,Consumer,Standard Class,18,361.58,0.2,39.79,5206.75,1261.9,May,2023,Q2
ORD-00053,2023-04-03,West,Furniture,Consumer,First Class,5,296.73,0.2,29.75,1186.92,250.08,April,2023,Q2
ORD-00054,2023-09-19,South,Clothing,Consumer,Standard Class,1,312.03,0.1,5.37,280.83,73.43,September,2023,Q3
ORD-00055,2023-05-21,South,Sports,Corporate,First Class,18,173.87,0.0,36.55,3129.66,283.83,May,2023,Q2
ORD-00056,2022-01-01,West,Electronics,Consumer,First Class,15,124.65,0.2,44.36,1495.8,399.15,January,2022,Q1
ORD-00057,2023-10-26,East,Electronics,Corporate,Standard Class,3,455.19,0.0,40.02,1365.57,137.73,October,2023,Q4
ORD-00058,2023-03-22,North,Clothing,Consumer,Standard Class,10,98.58,0.0,43.56,985.8,88.34,March,2023,Q1
ORD-00059,2023-06-08,West,Clothing,Consumer,Standard Class,8,10.13,0.0,20.61,81.04,-5.86,June,2023,Q2
ORD-00060,2022-04-25,North,Sports,Home Office,Standard Class,6,486.07,0.2,9.47,2333.14,697.25,April,2022,Q2
ORD-00061,2023-05-12,East,Food & Beverages,Home Office,Standard Class,6,285.14,0.0,12.41,1710.84,281.51,May,2023,Q2
ORD-00062,2023-02-27,North,Furniture,Corporate,Standard Class,4,111.17,0.0,21.29,444.68,57.73,February,2023,Q1
ORD-00063,2023-01-17,East,Clothing,Corporate,Second Class,3,259.38,0.0,23.26,778.14,241.47,January,2023,Q1
ORD-00064,2023-03-27,West,Furniture,Home Office,Standard Class,1,198.32,0.1,32.03,178.49,1.66,March,2023,Q1
ORD-00065,2022-11-12,North,Clothing,Corporate,First Class,8,289.75,0.2,11.0,1854.4,398.64,November,2022,Q4
ORD-00066,2023-05-06,South,Electronics,Consumer,Standard Class,5,74.82,0.0,19.05,374.1,107.8,May,2023,Q2
ORD-00067,2022-03-25,East,Food & Beverages,Home Office,Standard Class,16,263.41,0.0,24.03,4214.56,229.41,March,2022,Q1
ORD-00068,2023-10-21,North,Furniture,Consumer,Standard Class,11,417.17,0.2,13.32,3671.1,1045.47,October,2023,Q4
ORD-00069,2022-03-02,West,Furniture,Consumer,Second Class,1,481.28,0.1,13.93,433.15,105.4,March,2022,Q1
ORD-00070,2022-04-15,North,Furniture,Consumer,Same Day,17,125.01,0.0,29.91,2125.17,174.35,April,2022,Q2
